,0
0,271.8871855812613
1,1739.708886076929
2,-243.2740784259513
3,14.817915555555373
4,-232.17617705324665
5,-1253.3012270715553
6,3223.87843284267
7,1075.4532467143144
8,2194.6988195343874
9,6879.462428831728
10,-4309.833849648945
11,5925.649837213568
12,244.33621370699257
13,-717.0575237623416
14,-1636.8788936738856
15,-227.8188059811946
16,5932.797646932537
17,-1243.849815201247
18,3093.243358215783
19,4816.032128692372
20,4850.830202711746
21,-4538.1594010209665
22,-13070.00484423386
23,-2102.8516600711737
24,-4157.372645809315
25,12529.823058612645
26,4596.303055586293
27,-89.1452923133038
28,22187.053552171215
29,3523.5196937280707
30,1755.2889590063132
31,2770.0603589231614
32,8552.055650697555
33,-116.69315287354402
34,1081.3470511662308
35,-3825.772064532852
36,-3178.169804904377
37,7648.786813237239
38,-7407.382093141787
39,-1396.809293816099
40,154.72315558814444
41,-11195.3497036763
42,-3752.221648225328
43,18046.955755537376
44,2875.693009059876
45,7758.79010243644
46,2014.3045504759066
47,11869.434508667095
48,-710.2556410981342
49,-8315.219572601141
50,-9533.972154541174
51,6995.682428894332
52,-27686.18004714977
53,-3522.51611511223
54,15810.384311790345
55,-5700.924969901796
56,7582.049945220584
57,10441.656428833492
58,17701.558189697098
59,-1780.7133845521603
60,-1687.4880215455778
61,0.0
