,0
0,1038657.3125
1,1032348.0513536134
2,1034404.1141217152
3,1051849.5080271235
4,1059591.6198357483
5,1073370.9021299125
6,1075174.2915427038
7,1093763.0949233975
8,1091784.834101403
9,1097138.4386367348
10,1092344.1802447217
11,1094587.442828188
12,1085788.3570164656
13,1088124.5465499784
14,1087132.7203941885
15,1089474.5309631168
16,1089854.0234458412
17,1088260.5761644193
18,1082886.7855916256
19,1082929.9555752329
20,1074048.5736919637
21,1079288.5780980377
22,1078663.1008694826
23,1095486.7872393802
24,1095410.9518336484
25,1096851.053852221
26,1094050.4370603294
27,1102458.3903016404
28,1098818.6373065326
29,1104459.1178878834
30,1100144.2899106934
31,1101445.4977548993
32,1103788.5417706298
33,1102116.3379131698
34,1100511.1067912243
35,1100370.8705843354
36,1096924.98112442
37,1096928.0815643312
38,1095707.4157203955
39,1102647.3407423783
40,1105721.567204323
41,1104242.847334798
42,1104998.6825117404
43,1108985.3787579793
44,1110894.1737578737
45,1108250.7756175764
46,1109661.4610926262
47,1085354.4886699696
48,1100588.9901763077
49,1083676.0089535716
50,1079793.936061995
51,1090736.0156637137
52,1085667.99122406
53,1087008.0888601684
54,1088830.239633026
55,1098369.1650462341
56,1102394.5102535249
57,1089969.0932617188
58,1075952.527199707
59,1083113.6948495102
60,1087142.6839195632
61,1070954.0410238649
62,1080226.190897827
