,0
0,1000000.0
1,999544.1155714788
2,1000287.2149420634
3,996399.3179250378
4,994964.7879151541
5,991621.4333704365
6,984365.8001565322
7,983799.3506685719
8,974870.6691034618
9,973848.0227889041
10,975585.5063960454
11,939341.4135937972
12,962653.0843676939
13,961859.8093124493
14,963121.5067801209
15,963134.1343265878
16,975367.3267023555
17,1008528.0113370458
18,979096.4898328488
19,957938.3441007744
20,954028.5352649414
21,965310.8298657269
22,958396.1548281027
23,978979.645709347
24,1006550.8631952505
25,1009619.2324087708
26,957964.6691913279
27,974287.8147310115
28,977972.7278383877
29,964218.661311209
30,915305.3682806918
31,912433.1062634661
32,913224.6740726429
33,900183.930050282
34,863948.8490748915
35,915575.9877163798
36,895096.2021829323
37,890404.786740095
38,878977.3143342357
39,839415.024330348
40,826449.4859574239
41,845236.6752435153
42,811632.0867733809
43,800582.3048756979
44,783930.9611376047
45,848489.3984262554
46,866271.9484703599
47,901976.1928956049
48,911276.654710255
49,898449.241598532
50,927453.7669410477
51,951151.7195137884
52,923921.4529105243
53,909805.4716916902
54,991349.9417483726
55,975122.9312614335
56,992416.144448798
57,1011995.0374366649
58,989210.9116168753
59,948575.816354968
60,971184.3479416269
61,998195.5392798517
62,1028406.0531595174
63,1043862.2103653606
64,1034517.0304652327
65,1013869.4695771174
66,1016780.2011216579
67,1063087.729333139
68,1077717.7602046959
69,1029352.5989183679
70,1057997.2130622407
71,1072226.5521665534
72,1071793.6841646642
73,1027562.3774744511
74,1059592.4792944603
75,1051732.3802171655
76,1065090.2149360443
77,1079861.8982056472
78,1072296.2876486722
79,1069120.546144611
80,1104012.6150808474
81,1123379.2879918928
82,1118243.1177709706
83,1157663.399400429
84,1159316.8484457221
85,1171146.2162041187
86,1155911.415888642
87,1195565.4234049742
88,1172618.0590919752
89,1174447.7374911946
90,1134930.1306723477
91,1156479.6256001252
92,1154276.2004542556
93,1204266.3600358209
94,1190884.3128883406
95,1171729.6283458702
96,1157233.203768414
97,1156604.2642555786
98,1187328.778689323
99,1163568.2304420103
100,1181878.7175355204
101,1196253.8779750278
102,1209653.4727934357
103,1217320.728129358
104,1206268.9349617218
105,1228544.8040478788
106,1228814.277335145
107,1224940.8564061194
108,1227842.278969152
109,1218485.6389885875
110,1216023.5793550534
111,1220978.464752522
112,1192688.4251314837
113,1184046.8539975008
114,1179732.7648538202
115,1193908.5454900488
116,1195336.703746383
117,1156819.9056051215
118,1162896.184327526
119,1166709.7763029707
120,1188918.0478842368
121,1193686.4867595888
122,1207062.3114351237
123,1198504.1371195663
124,1201504.2147024653
125,1170084.332508202
126,1182007.0591794574
127,1158558.5919511018
128,1153641.4503921468
129,1164333.6247578664
130,1158205.2683626108
131,1196330.2236204925
132,1201910.7112143568
133,1241581.710243433
134,1251833.455828037
135,1253945.1909744754
136,1274981.4995445963
137,1276821.87138818
138,1281316.5068079215
139,1321124.24145969
140,1315573.7368006215
141,1313396.2816558513
142,1306747.3397018649
143,1303619.418311601
144,1329239.6164146445
145,1326728.7127988304
146,1346595.0219991598
147,1352209.8695889565
148,1360696.2890769423
149,1354192.045224922
150,1357432.9286504786
151,1343947.1337894553
152,1336827.555535052
153,1359965.4566849545
154,1367463.7970243976
155,1352737.1754055608
156,1319312.3424709712
157,1333748.6499250566
158,1336935.6463386016
159,1350231.226672217
160,1374986.5887241224
161,1370503.172331208
162,1374131.7272786559
163,1372736.7380293882
164,1369629.0771065617
165,1369704.696528262
166,1365993.5249652017
167,1334353.0278338173
168,1327891.4736287585
169,1343195.795916469
170,1360632.7563167627
171,1376285.3060088526
172,1396739.4294808116
173,1418175.6391453142
174,1415485.9885135922
175,1434453.5035960972
176,1433899.0065461183
177,1450130.0096226453
178,1458183.9105505927
179,1465743.0853042197
180,1458098.6905661237
181,1478758.0688485142
182,1461192.2299309692
183,1454090.889388404
184,1435084.399653707
185,1458277.5431874283
186,1454476.0049423147
187,1449190.3539239056
188,1411368.7035951864
189,1406303.6830685204
190,1437744.0043805498
191,1451917.4094854004
192,1459364.0444114185
193,1468686.652513764
194,1477466.2050155739
195,1479809.5712132133
196,1471219.4995887121
197,1501636.9316838311
198,1500793.0661885978
199,1484715.032745534
200,1497168.747914425
201,1489051.3412114403
202,1462577.4066239048
203,1489903.1788572227
204,1470375.967833651
205,1457240.9845596252
206,1450693.0729081393
207,1418136.7626262032
208,1452205.046622095
209,1399485.960521536
210,1411795.4481935042
211,1411794.119027851
212,1410773.478127599
213,1445995.7359055714
214,1440866.70107953
215,1475600.172691497
216,1479948.7506932023
217,1494913.7460099112
218,1499539.5924006212
219,1502321.4736405003
220,1514231.9881363162
221,1521023.3557034086
222,1515519.7669191542
223,1496443.9863689267
224,1487298.7840087097
225,1503083.0568448883
226,1498772.0608068013
227,1499474.4508878107
228,1471041.1253604253
229,1487509.7311589909
230,1496817.4955327453
231,1496742.055132442
232,1478083.26175849
233,1490988.7328991287
234,1487874.8461002551
235,1472880.6379322049
236,1486981.7000072913
237,1492676.66344656
238,1498923.299953276
239,1508160.8330426824
240,1497744.0021770203
241,1502872.7268182128
242,1476313.3673920108
243,1483521.90067255
244,1498143.7300258991
245,1500721.709831544
246,1503983.50202837
247,1510530.9503024044
248,1516259.7854683779
249,1520858.0330590652
250,1522798.6724200565
251,1512344.859001411
252,1542638.8253251328
